contrast_id,family_slug,contrast_kind,baseline_tag,variant_tag,endpoint,n_samples,mean_delta,median_delta,std_delta,effect_size_dz,positive_share,ci_low,ci_high,sign_flip_pvalue,qvalue,is_significant_fdr_10,is_significant_fdr_05
a5_concept_swap:v3_a5_gpt_4_1_illiberal_democracy__vs__v3_a5_gpt_5_2_illiberal_democracy,a5_concept_swap,model_comparison,v3_a5_gpt_4_1_illiberal_democracy,v3_a5_gpt_5_2_illiberal_democracy,stage_entropy,30,-0.38395979627330246,-0.3853153241307965,0.24171269265972942,-1.5884966240222276,0.03333333333333333,-0.47178622260278874,-0.29854817758921065,0.0001999600079984003,0.00029994001199760045,True,True
b1_small_model_family:v3_b1_gpt_4_1_mini_abstain_false__vs__v3_b1_gpt_4_1_mini_abstain_true,b1_small_model_family,abstain_toggle,v3_b1_gpt_4_1_mini_abstain_false,v3_b1_gpt_4_1_mini_abstain_true,abstain_rate,30,0.39,0.4,0.19000907419347654,2.05253355217595,0.9666666666666667,0.31833333333333336,0.4533333333333333,0.0001999600079984003,0.0005998800239952009,True,True
b1_small_model_family:v3_b1_gpt_4_1_mini_abstain_false__vs__v3_b1_gpt_4_1_mini_abstain_true,b1_small_model_family,abstain_toggle,v3_b1_gpt_4_1_mini_abstain_false,v3_b1_gpt_4_1_mini_abstain_true,mean_expected_stage,30,0.16381500615827244,0.2512820512820513,0.4400050866416113,0.3723025281562289,0.7,0.0005297192254912844,0.3132966120638333,0.04779044191161767,0.052135027539946546,True,False
b1_small_model_family:v3_b1_gpt_4_1_mini_abstain_false__vs__v3_b1_gpt_4_1_mini_abstain_true,b1_small_model_family,abstain_toggle,v3_b1_gpt_4_1_mini_abstain_false,v3_b1_gpt_4_1_mini_abstain_true,mean_subset_size,30,0.06037943867278232,0.030147058823529416,0.12912185767998158,0.4676159385998615,0.5666666666666667,0.015671864860429104,0.10598947402285244,0.019396120775844832,0.023275344931013797,True,True
b1_small_model_family:v3_b1_gpt_4_1_mini_abstain_false__vs__v3_b1_gpt_4_1_mini_abstain_true,b1_small_model_family,abstain_toggle,v3_b1_gpt_4_1_mini_abstain_false,v3_b1_gpt_4_1_mini_abstain_true,mid_scale_mass,30,0.1400155660043431,0.1375,0.30998010536030896,0.45169210405162735,0.6666666666666666,0.02721814973919269,0.2506637371414848,0.015796840631873626,0.0210624541758315,True,True
b1_small_model_family:v3_b1_gpt_4_1_mini_abstain_false__vs__v3_b1_gpt_4_1_mini_abstain_true,b1_small_model_family,abstain_toggle,v3_b1_gpt_4_1_mini_abstain_false,v3_b1_gpt_4_1_mini_abstain_true,singleton_rate,30,-0.06204610533944899,-0.03749999999999998,0.1291095904922539,-0.4805692985539407,0.16666666666666666,-0.10801721100250514,-0.01861358419630481,0.013797240551889621,0.020695860827834433,True,True
b1_small_model_family:v3_b1_gpt_4_1_mini_abstain_false__vs__v3_b1_gpt_4_1_mini_abstain_true,b1_small_model_family,abstain_toggle,v3_b1_gpt_4_1_mini_abstain_false,v3_b1_gpt_4_1_mini_abstain_true,stage_entropy,30,0.015153926865062499,0.019004123537291473,0.24454667035091257,0.06196742259184045,0.5333333333333333,-0.06913882102516875,0.10672471788427065,0.7488502299540092,0.7488502299540092,False,False
b1_small_model_family:v3_b1_gpt_5_2_chat_abstain_false__vs__v3_b1_gpt_5_2_chat_abstain_true,b1_small_model_family,abstain_toggle,v3_b1_gpt_5_2_chat_abstain_false,v3_b1_gpt_5_2_chat_abstain_true,abstain_rate,30,0.37333333333333335,0.4,0.12780193008453875,2.9211869733608866,1.0,0.3266666666666667,0.41670833333333324,0.0001999600079984003,0.0005998800239952009,True,True
b1_small_model_family:v3_b1_gpt_5_2_chat_abstain_false__vs__v3_b1_gpt_5_2_chat_abstain_true,b1_small_model_family,abstain_toggle,v3_b1_gpt_5_2_chat_abstain_false,v3_b1_gpt_5_2_chat_abstain_true,mean_expected_stage,30,0.47586657759451884,0.5080128205128205,0.3419626341101493,1.3915747807733807,0.9,0.3596908866596367,0.5928586988991402,0.0001999600079984003,0.0005998800239952009,True,True
b1_small_model_family:v3_b1_gpt_5_2_chat_abstain_false__vs__v3_b1_gpt_5_2_chat_abstain_true,b1_small_model_family,abstain_toggle,v3_b1_gpt_5_2_chat_abstain_false,v3_b1_gpt_5_2_chat_abstain_true,mean_subset_size,30,0.12851626314861606,0.11730769230769222,0.2450842625000051,0.5243758282872748,0.6,0.04955117826073706,0.21605730795620495,0.006798640271945611,0.01336875482046448,True,True
