contrast_id,family_slug,contrast_kind,baseline_tag,variant_tag,endpoint,n_samples,mean_delta,median_delta,std_delta,effect_size_dz,positive_share,ci_low,ci_high,sign_flip_pvalue,policy_family
c2_l3_projection:v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2__vs__v3_1_c3_gpt_5_2_bundle_5_cluster_l3_v2,c2_l3_projection,evidence_projection,v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,v3_1_c3_gpt_5_2_bundle_5_cluster_l3_v2,stage_entropy,30,0.04852126422783733,0.06692842031488411,0.3710357167649442,0.13077248910399686,0.5,-0.0731952324384964,0.180850684743737,0.4875024995001,c2_l3_projection
c2_l3_projection:v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2__vs__v3_1_c3_gpt_5_2_bundle_5_cluster_l3_v2,c2_l3_projection,evidence_projection,v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,v3_1_c3_gpt_5_2_bundle_5_cluster_l3_v2,tbm_conflict,30,-8.458549643216202e-05,0.019554388047433924,0.538159240415877,-0.00015717559056831638,0.5333333333333333,-0.18976123876339038,0.20107317739656128,0.9992001599680064,c2_l3_projection
c4_small_model_scale:v3_b1_gpt_4_1_mini_abstain_true__vs__v3_1_c4_gpt_4_1_mini_scale_5,c4_small_model_scale,scale_size,v3_b1_gpt_4_1_mini_abstain_true,v3_1_c4_gpt_4_1_mini_scale_5,abstain_rate,30,-0.32500000000000007,-0.35,0.20625979600561004,-1.575682737469402,0.03333333333333333,-0.3966666666666666,-0.2516666666666667,0.0001999600079984003,c4_small_model_scale
c4_small_model_scale:v3_b1_gpt_4_1_mini_abstain_true__vs__v3_1_c4_gpt_4_1_mini_scale_5,c4_small_model_scale,scale_size,v3_b1_gpt_4_1_mini_abstain_true,v3_1_c4_gpt_4_1_mini_scale_5,closed_world_conflict,30,0.034600000000000006,0.0,0.31898366080736634,0.1084695056556357,0.26666666666666666,-0.06646666666666666,0.1390170833333296,0.4349130173965207,c4_small_model_scale
c4_small_model_scale:v3_b1_gpt_4_1_mini_abstain_true__vs__v3_1_c4_gpt_4_1_mini_scale_5,c4_small_model_scale,scale_size,v3_b1_gpt_4_1_mini_abstain_true,v3_1_c4_gpt_4_1_mini_scale_5,mean_expected_stage,30,0.0442316730397226,-0.026388888888888906,0.46662440298814223,0.09479074123958023,0.4666666666666667,-0.12385970077465822,0.20664930474653725,0.5972805438912218,c4_small_model_scale
c4_small_model_scale:v3_b1_gpt_4_1_mini_abstain_true__vs__v3_1_c4_gpt_4_1_mini_scale_5,c4_small_model_scale,scale_size,v3_b1_gpt_4_1_mini_abstain_true,v3_1_c4_gpt_4_1_mini_scale_5,mean_score_expert_agreement_prob,30,0.00975,0.008750000000000147,0.04785642139739988,0.203734414636564,0.5666666666666667,-0.006506249999999997,0.02650208333333334,0.266746650669866,c4_small_model_scale
c4_small_model_scale:v3_b1_gpt_4_1_mini_abstain_true__vs__v3_1_c4_gpt_4_1_mini_scale_5,c4_small_model_scale,scale_size,v3_b1_gpt_4_1_mini_abstain_true,v3_1_c4_gpt_4_1_mini_scale_5,mean_subset_size,30,0.037452641527718926,0.0819143446852425,0.15426853055399486,0.2427756418838143,0.6,-0.016215914657381373,0.0938203942278052,0.1939612077584483,c4_small_model_scale
c4_small_model_scale:v3_b1_gpt_4_1_mini_abstain_true__vs__v3_1_c4_gpt_4_1_mini_scale_5,c4_small_model_scale,scale_size,v3_b1_gpt_4_1_mini_abstain_true,v3_1_c4_gpt_4_1_mini_scale_5,mid_scale_mass,30,-0.1382954671460863,-0.11388888888888893,0.30623555152762105,-0.4515983413950965,0.3333333333333333,-0.25121931720562724,-0.03300526156205338,0.02519496100779844,c4_small_model_scale
c4_small_model_scale:v3_b1_gpt_4_1_mini_abstain_true__vs__v3_1_c4_gpt_4_1_mini_scale_5,c4_small_model_scale,scale_size,v3_b1_gpt_4_1_mini_abstain_true,v3_1_c4_gpt_4_1_mini_scale_5,singleton_rate,30,-0.030610536264561037,-0.050000000000000044,0.14909703906620977,-0.2053061312033686,0.36666666666666664,-0.07997653323127393,0.022260871850171254,0.2695460907818436,c4_small_model_scale
c4_small_model_scale:v3_b1_gpt_4_1_mini_abstain_true__vs__v3_1_c4_gpt_4_1_mini_scale_5,c4_small_model_scale,scale_size,v3_b1_gpt_4_1_mini_abstain_true,v3_1_c4_gpt_4_1_mini_scale_5,stage_entropy,30,0.018502445008788164,0.03898785834536134,0.18066835348509944,0.10241110106930901,0.6,-0.04160166275724941,0.08052233858140284,0.5766846630673865,c4_small_model_scale
